,id,content,label
0,498235547685756928,Black teenage boys are not men. They are children. Stop referring to a 17 year old as a man. You are killing children. #ferguson	,0
1,498248415223246848,The mother of the boy killed in #Ferguson speaking to media about the loss of her son. http://t.co/YlxEDKoebB	,0
2,498248648699150336,Police have brought out the large gear in #Ferguson. http://t.co/2gxUzOvwfy	,0
3,498250100079341568,"Omg Wow ""@FLOCKAfierce: WOW RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/4t4RRtNWRk""	",0
4,498251940997136384,"When you see citizens as enemies... RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/xTwwfXC8zy""	",0
5,498253149707464704,Police of #Ferguson murdered a boy in cold blood. Now they're spinning the story &amp; intimidating the community into silence.	,0
6,498253652755111937,Here’s to hoping what’s happening in STL right now doesn’t get worse. #Ferguson hashtag not looking good right now. http://t.co/0fhU5EopGa	,0
7,498254340310966273,"Michael Brown is the 17 yr old boy who was shot 10x &amp; killed by police in #Ferguson today. Media reports ""police shoot man"". #blackboysonly	",1
8,498254540870017025,"When you are black &amp; the victim of a crime, people will dig up something you did in kindergarten to justify what happened to you. #Ferguson	",0
9,498254929942028288,17 year old unarmed kid shot ten times by police for stealing candy. I didn't know that was punishable by death.(read the #ferguson tag)	,1
10,498255721260400640,Patrol cars still flood the streets in #ferguson more than 6 hours after police officer shot teenager @ksdknews http://t.co/fCCGAfIRbG	,0
11,498255816034893824,"America doesn't think we're human, the world doesn't think we're human, and cops don't get punished for killing us for no reason. #ferguson	",0
12,498256407980826625,"Another day, another shooting of an unarmed black teenager in America by authority figures. #STL #Ferguson	",0
13,498259432237969408,People are now matching to the #Ferguson Police Dept headquarters. http://t.co/4KEsby2ZPj	,0
14,498259903962570752,Being Black in this country is dangerous business. #Ferguson	,0
15,498262106937237504,People marching to the #Ferguson Police Dept headquarters following the killing of a 17-year-old boy. http://t.co/ROvs3mXYMM	,0
16,498263598062661633,Many police officers today operate from fear and prejudice. That's dangerous when you have the power to take a life. #Ferguson	,0
17,498264107460870144,"The #Ferguson shooting shows that being passive leads 2 more injustice. If a Black cop shot an unarmed white teen, Ferguson would be on fire	",0
18,498264393185239040,"Police aren't being taught to protect and serve anymore. They are being taught to shoot first, explain later. #ferguson	",0
19,498265095559184384,"Yes @stltoday describe people protesting police officer killing Michael Brown as ""mob"". Then, edit, ""crowd"" #ferguson http://t.co/xG3Hm8JLWy	",0
20,498267196833808384,"This is not a ""black"" loss. This is a loss for America, and everyone should be concerned, outraged &amp; involved. #Ferguson	",0
21,498267673789472768,"If Michael Brown had been white, @stltoday would have described crowd not as a ""mob"", but as a 'heartbroken community'. #Ferguson	",0
22,498268463639851008,calling the neighbors a mob = dehumanizing a community to justify all future wrongdoing. #mikebrown #ferguson	,0
23,498269289812856832,call weeping neighbors a mob --&gt; paint a picture of a violent community #MikeBrown came from --&gt; justify his execution #Ferguson	,0
24,498269697453084672,"PAY ATTENTION as ""teen"" becomes ""man,"" ""community"" becomes ""mob,"" and ""murder"" becomes ""alleged shooting."" #Ferguson #medialiteracy	",0
25,498271954185379840,Interview with mother of victim. The police wouldn't let her ID her own son http://t.co/jUonPxq4TW #Ferguson	,0
26,498272080564334592,Police murder another unarmed 17 yr old blk kid &amp; police show up like this. I can't take it! #Ferguson #WeAreTargets http://t.co/RuZ8YAgGPr	,0
27,498272309535191041,200 cops in riot gear in #ferguson because there is a prayer circle and a concerned compassionate community	,1
28,498272364560257025,"To all white ppl horrified by #Ferguson: go to police, school board, &amp; mayor and teach how anti-blackness kills. They don't listen to us.	",0
29,498273703428620289,"The mother of #MikeBrown, the 17-year-old killed by #Ferguson police today, says her son was about to start at Vatterott College next week.	",0
30,498274493337702401,: Teenager #MikeBrown won't start college on Monday because he was shot ten times by a #Ferguson police officer. http://t.co/dCFmzlkFRD”	,0
31,498274692873351170,How many unarmed black teenagers will be killed in America? #ThatIsTheQuestion#Ferguson http://t.co/5L8043MSaP	,0
32,498274934553317376,"""The 18 year old victim had no weapon and his hands in the air and was still shot multiple times."" https://t.co/kTIEq8TkkC #Ferguson	",0
33,498274948772024321,Mike Brown was to start studying at Vatterott College on Monday. #Ferguson	,0
34,498275621651636224,"Notice it's ""involved in the shooting"" not ""killed a child."" Notice it's ""paid administrative leave"" not ""has been arrested""#Ferguson	",0
35,498276304635322368,The police officer who killed Mike Brown has been put on paid administrative leave. #Ferguson	,0
36,498276354434277376,Michael Brown was due to begin classes at Vatterott College tomorrow.His mother mourns his loss:#Ferguson http://t.co/YMSK7Skp9y	,0
37,498276771226451968,"Multiple witnesses have told the media in #Ferguson, that Mike Brown had his hands up when he was shot ""multiple"" times by police officer.	",0
38,498277197581664256,"Black bodies are no longer swinging from trees, they are laying on the streets.  #Ferguson #detriot #oakland #nyc #usa	",0
39,498277231253127168,Michael Brown was supposed to start classes at Vatterott College on Monday. Instead gunned down in street by #Ferguson police.	,0
40,498277674692149248,"Favorite this now: In the next week, we will hear about EVERY transgression #MikeBrown has ever had since soiling his diapers. #Ferguson	",0
41,498277678706077696,Teenager #MikeBrown won't start college on Monday because he was shot ten times by a #Ferguson police officer. http://t.co/A4RJS4unlx	,0
42,498278882244853760,People are gathering at the site where #Ferguson police killed 17-year-old #MikeBrown. Police have swarmed the area. http://t.co/NlqbthTiAc	,0
43,498279420885360641,The police presence in #Ferguson following the shooting of Michael Brown was mind blowing. http://t.co/UGdNcWtpbH	,0
44,498280074941313024,Rose petals and candles have been placed in the street where #MikeBrown's body laid. #Ferguson http://t.co/kCn4dHqNwQ	,0
45,498280126254428160,"Mike Brown was staying with his grandmother for the summer, who lived in the community. #Ferguson	",1
46,498280730070622209,"People in the street shouting ""No Justice, No Peace"" and blocking a Kinloch police car from passing. #Ferguson http://t.co/7jp4rqT4G6	",0
47,498281104865259521,Rest in Peace Mike Brown. #Ferguson	,0
48,498281812821803008,The crowd has forced the police car to reverse. #ferguson https://t.co/B9YqGhq0hZ	,0
49,498281886603411456,"America: Where an unarmed black teen gunned to death by the cops isn't seen as a victim, but a white kid on a shooting spree is. #Ferguson	",0
50,498283038338711552,They've brought the dogs out in #Ferguson https://t.co/gXQeLtaXjt	,0
51,498283233982025728,"An unarmed 17 year old kid shot 10 times &amp; once in the HEAD?!?!Not sure how you can ""spin that"".#Ferguson	",0
52,498283586425200640,#Ferguson Regardless of what color you are; the militarized police response here is BONECHILLING http://t.co/uumztSc6c8	,0
53,498284302128668672,#Ferguson police have brought dogs into neighborhood. Residents protest with hands in the air. Tension is growing... http://t.co/BxYIsHHjnE	,0
54,498284334806495233,Things are getting very tense in #Ferguson. https://t.co/2pDUHAR2B7	,0
55,498284429333524480,"Someone remind me what year it is again. Cops shoot unarmed young man then bring the dogs out to ""handle"" the crowd. #Ferguson #MikeBrown	",0
56,498285405142540289,"Right now in #Ferguson, MO following the killing of 17-year-old #MikeBrown http://t.co/caqdthrkq0	",0
57,498285529704976385,The only reason those cops haven't gone all Selma on the people in #Ferguson is because the cameras are rolling. That's it.	,0
58,498285556502372352,"Rest in Peace, Michael Brown. 17 forever.#Ferguson http://t.co/fMq9mJRwtL	",0
59,498285782512050176,Awful. RT @AntonioFrench #Ferguson Police have dogs and shotguns. The unarmed crowd is raising their hands. https://t.co/OFXxJLuDtj	,0
60,498286045843435521,Black people die 2 deaths: 1) by public execution &amp; 2) an assassination of their character to justify the murder. #Ferguson #MikeBrown	,0
61,498286281894682624,What year are we in again? This is looking like the 50s #Ferguson http://t.co/TeLcT3d3yh	,0
